query,intent
What is the fee for BTech CSE?,fees
How much does BTech cost at BMU?,fees
Tell me about the fee structure,fees
What is the tuition fee?,fees
How much is the annual fee?,fees
What are the charges for BTech?,fees
Fee kitni hai BTech ki?,fees
Kitna paisa lagega BTech mein?,fees
BTech CSE ki fees kitni hai?,fees
Fees kya hai engineering ki?,fees
How much does it cost to study engineering?,fees
What is the yearly fee for CSE?,fees
BTech fee structure kya hai?,fees
Engineering mein kitna kharcha hai?,fees
What is the cost of BTech program?,fees
How much is the tuition for computer science?,fees
Fees for mechanical engineering?,fees
What is the fee for electronics?,fees
EComE ki fees kitni hai?,fees
Mechanical engineering ka kharcha?,fees
What is the MBA fee?,fees
MBA ki fees kya hai?,fees
How much does MBA cost?,fees
MBA program ki fees batao,fees
LLB NLP PROJECT/bmu-advanced-call-agent/backend/data/intent_dataset.csv kitni hai?,fees
BA LLB ka kharcha kitna hai?,fees
BBA fees kya hai?,fees
B.Com ki fees kitni hai?,fees
What is the fee for BBA?,fees
Fees for liberal arts?,fees
BA Liberal Arts ki fees?,fees
How much is the PhD fee?,fees
MTech fees kya hai?,fees
What is the fee for MTech?,fees
fess kitni hai cse ki?,fees
BTech ki fes kya hai?,fees
Fees batao mujhe,fees
Kitni fees lagti hai yahan?,fees
What are the annual charges?,fees
How much to pay per year?,fees
Yearly expense at BMU?,fees
Cost of studying at BMU?,fees
What is the per year fee?,fees
Annual fee kya hai?,fees
Semester fee kitni hai?,fees
Per semester kitna lagta hai?,fees
What is the semester wise fee?,fees
Semester mein kitna pay karna hoga?,fees
Total fee for 4 years?,fees
What is the total cost of BTech?,fees
Total 4 saal mein kitna lagega?,fees
Complete fee for entire course?,fees
All inclusive fee at BMU?,fees
What is the total fee with hostel?,fees
Fee with accommodation included?,fees
Total cost including hostel and food?,fees
Hostel ke saath total kitna lagega?,fees
What will be my total yearly expense?,fees
How much is the fee with hostel per year?,fees
Can I get a scholarship at BMU?,scholarship
Is there any scholarship available?,scholarship
Tell me about scholarships,scholarship
What scholarships does BMU offer?,scholarship
I want to know about the scholarship program at BMU,scholarship
Scholarship milegi kya?,scholarship
Kya scholarship milegi?,scholarship
Mujhe scholarship chahiye,scholarship
Scholarship ke baare mein batao,scholarship
Is there merit based scholarship?,scholarship
How much scholarship do I get?,scholarship
What is the scholarship criteria?,scholarship
Scholarship ke liye kya chahiye?,scholarship
Scholarship eligibility kya hai?,scholarship
I scored 88 percent will I get discount?,scholarship
Meri 88 percent hai koi scholarship milegi?,scholarship
90 percent pe kitni scholarship milegi?,scholarship
What scholarship do I get with 90 percent marks?,scholarship
85 percent pe koi discount hai?,scholarship
How much fee waiver for 85 percent?,scholarship
Is there scholarship for girls?,scholarship
What scholarships are available for girls?,scholarship
Girl students ko koi extra scholarship hai?,scholarship
Female students ke liye scholarship?,scholarship
Is there sports scholarship?,scholarship
National level sports scholarship kya hai?,scholarship
Need based scholarship hai kya?,scholarship
Financial help milti hai kya?,scholarship
Is there any financial help available?,scholarship
Financial assistance ke baare mein batao,scholarship
Fee mein koi discount hai?,scholarship
Koi fee reduction milti hai?,scholarship
Fee kam ho sakti hai kya?,scholarship
Concession milega kya fees mein?,scholarship
Top rankers ko kya milta hai?,scholarship
Entrance exam topper ko scholarship?,scholarship
100 percent scholarship kaise milegi?,scholarship
Full scholarship possible hai kya?,scholarship
scolarship milegi kya?,scholarship
scholership ke baare mein batao,scholarship
skolarship criteria kya hai?,scholarship
Merit scholarship details?,scholarship
Academic scholarship kya hai?,scholarship
Scholarship for economically weak students?,scholarship
Low income family ke liye scholarship?,scholarship
Scholarship amount kitna hai?,scholarship
How much is the scholarship amount?,scholarship
Scholarship renewal hoti hai kya?,scholarship
Is scholarship renewable every year?,scholarship
Scholarship ke liye apply kaise karein?,scholarship
How to apply for scholarship?,scholarship
How are the placements at BMU?,placement
Tell me about placements,placement
What is the placement record?,placement
Placement kaisi hai BMU mein?,placement
